config,asr_dataset,f1,asr_sample_mean,asr_sample_std
v2-1-no-attack,0.0,99.7,0.0,0.0
v2-2-rand-attack,0.0,99.7,0.0,0.0
v2-3-zrand1-rand,22.78,74.88,0.2,0.43
v2-4-zrand2-rand,30.5,65.86,0.27,0.47
v2-5-zrand3-rand,33.16,62.97,0.3,0.47
v2-6-zrand1-pgd3,23.1,74.61,0.21,0.43
v2-7-zrand1-pgd3-smooth,26.6,69.92,0.24,0.45
v2-8-z1-pgd3,27.41,69.87,0.25,0.45
v2-9-z1-pgd3-smooth,36.84,59.1,0.33,0.48
v2-92-zall-pgd1,37.53,58.64,0.33,0.48
v2-93-zall-pgd1-smooth,41.98,53.72,0.38,0.49
v3-1-1site-1iter,25.86,71.55,0.23,0.44
v3-2-1site-1iter-smooth,32.99,64.46,0.29,0.47
v3-3-1site-3iter,28.31,69.14,0.25,0.45
v3-3-1site-5iter,28.65,68.71,0.25,0.46
v3-4-1site-3iter-smooth,34.2,62.41,0.3,0.48
v3-4-1site-5iter-smooth,37.14,59.79,0.33,0.48
v3-5-1site-10iter,28.85,68.38,0.26,0.46
v3-6-1site-10iter-smooth,39.15,57.71,0.35,0.49
v3-7-2site-5iter,8.23,90.48,0.08,0.3
v3-8-2site-5iter-smooth,42.56,54.05,0.38,0.49
v3-9-allsite-5iter,35.04,62.2,0.31,0.48
